steps,case1,case2,case3,case4,case5,case6
724,0.675280592,0.708730413,0.692555142,0.661407432,0.662103321,0.725667655
727,0.699338783,0.655969319,0.634519339,0.626581361,0.691052608,0.720637398
730,0.730179387,0.750918705,0.637880972,0.634174699,0.830797924,0.755878828
733,0.726051768,0.665490557,0.703065726,0.652343343,0.706012365,0.72920343
736,0.666359476,0.648177416,0.662099152,0.668585295,0.758600965,0.670480376
739,0.746304991,0.758261322,0.677316242,0.670237389,0.644268606,0.747739795
742,0.640774246,0.64939557,0.680398467,0.682598327,0.727848106,0.703987971
745,0.743774392,0.699444337,0.623658624,0.666401689,0.775373919,0.732519224
748,0.71087414,0.697720798,0.66146371,0.675640783,0.718535645,0.711178924
751,0.71342784,0.699664291,0.621010144,0.67227461,0.663049933,0.714737296
754,0.659024471,0.622945612,0.647318823,0.61662451,0.74061604,0.708654086
757,0.670898805,0.723691869,0.641108323,0.672034839,0.677572974,0.701316366
760,0.628337785,0.707470824,0.654492498,0.642619051,0.667325655,0.704029787
763,0.678275215,0.796982455,0.722484217,0.648044401,0.671708011,0.643579785
766,0.719448708,0.737302503,0.645094034,0.706136226,0.717215094,0.687793154
769,0.637260754,0.739199416,0.618118634,0.68396152,0.711565032,0.696936144
772,0.821730782,0.783800865,0.731406334,0.641586609,0.755029409,0.695859771
775,0.726916894,0.693326907,0.623680099,0.712335589,0.599686358,0.690735563
778,0.761702606,0.666655224,0.667431137,0.645199174,0.697448244,0.66720637
781,0.706449287,0.702709214,0.56579822,0.635313695,0.654537969,0.779024821
784,0.687657351,0.69779859,0.692454653,0.682590797,0.68019883,0.689347248
787,0.678921203,0.633551217,0.653806473,0.625016978,0.687438125,0.666476969
790,0.680473085,0.665508537,0.674327369,0.612971409,0.844104828,0.839026294
793,0.671630342,0.670860005,0.756337761,0.657268729,0.636444763,0.754601338
796,0.67437368,0.699006695,0.717635162,0.726388062,0.697126083,0.637456743
799,0.713701334,0.715158079,0.653024243,0.727573762,0.659753776,0.685511118
802,0.690306642,0.780847233,0.632391094,0.749335339,0.682169515,0.757038559
805,0.610398717,0.731499608,0.670223123,0.703989968,0.765367739,0.748675834
808,0.706406965,0.641609246,0.665294585,0.619541471,0.623987981,0.672016107
811,0.696059219,0.70757182,0.74131243,0.760670688,0.701259162,0.700117937
814,0.63023799,0.70098782,0.646885627,0.683674681,0.656830586,0.697282517
817,0.698033742,0.734961817,0.743353167,0.63448258,0.609810058,0.677287693
820,0.697014605,0.652013085,0.720722343,0.724948086,0.705008904,0.722124667
823,0.69127516,0.639020398,0.63827926,0.733334875,0.678700911,0.674948205
826,0.618995354,0.648749451,0.604452116,0.74875292,0.710283399,0.689343032
829,0.701609567,0.730265817,0.690164798,0.663105973,0.659390938,0.727991264
832,0.670442108,0.762710665,0.633141764,0.67245224,0.704765379,0.64291415
835,0.684444861,0.714869494,0.686655277,0.642794576,0.709152494,0.785350838
838,0.707194482,0.673518365,0.628888457,0.674782591,0.696307037,0.682904023
841,0.691371596,0.685374429,0.673569648,0.719625564,0.675668609,0.713429539
844,0.702720354,0.645083534,0.731365289,0.73089928,0.648505624,0.731390823
847,0.683223125,0.662411979,0.640950299,0.675952703,0.74400716,0.696990785
850,0.677672877,0.671628346,0.699914124,0.717682833,0.653287309,0.709384892
853,0.690211559,0.716884209,0.659530812,0.675190448,0.644817819,0.703784998
856,0.638028364,0.682461857,0.708293184,0.686997763,0.679647361,0.76922505
859,0.774632191,0.696545306,0.720574855,0.692598998,0.677965657,0.693195511
862,0.635535525,0.72587224,0.67295464,0.692788372,0.693815057,0.761215108
865,0.689704436,0.703835131,0.682157199,0.693268752,0.643204109,0.699367722
868,0.657175457,0.694554614,0.666959892,0.656892947,0.723032961,0.669190291
871,0.704347979,0.739766809,0.730740883,0.703332495,0.742265099,0.733290679
874,0.733916179,0.711822642,0.6808218,0.658298528,0.697783649,0.679441339
877,0.627815491,0.747198618,0.690342973,0.681192739,0.636340578,0.744516485
880,0.781516185,0.669847314,0.65271327,0.630005839,0.685335693,0.734025269
883,0.663228635,0.683580364,0.685089424,0.664187042,0.687778588,0.676303609
886,0.699206442,0.626521916,0.69764768,0.606557102,0.68575526,0.670425293
889,0.63963293,0.757494387,0.67157336,0.712344461,0.702950105,0.714952096
892,0.65461584,0.681270835,0.630477666,0.67595305,0.711371958,0.691344846
895,0.680449537,0.622988532,0.666961545,0.680111531,0.70666857,0.738388071
898,0.719562706,0.671190677,0.584137967,0.75741332,0.70883125,0.704441072
901,0.624182159,0.770971785,0.639977211,0.72514308,0.758110321,0.63048167
904,0.713375197,0.756261051,0.662695724,0.598765038,0.684725074,0.792578308
907,0.66929,0.603994586,0.645228242,0.680551207,0.629375366,0.68202091
910,0.615746976,0.695097557,0.624659956,0.802831674,0.641543009,0.697310788
913,0.665867851,0.697608346,0.656127895,0.676225282,0.725410317,0.759753206
916,0.647323849,0.673428713,0.606704874,0.643965747,0.736149766,0.739303371
919,0.635675289,0.685644468,0.705856501,0.711586965,0.608192704,0.64331282
922,0.696800259,0.73434198,0.684284729,0.684587991,0.678518829,0.722124089
925,0.706239439,0.863251569,0.698754358,0.692929212,0.646411085,0.74584232
928,0.651995209,0.699022888,0.687930931,0.772059819,0.660335873,0.697108284
931,0.742249761,0.765611341,0.655413816,0.685181477,0.704151597,0.746960552
934,0.687307234,0.685026255,0.602162635,0.677722673,0.73790909,0.718061249
937,0.665728681,0.677803885,0.67116476,0.749368836,0.712110303,0.703475665
940,0.658137296,0.71050696,0.613184541,0.684887676,0.749720275,0.661253395
943,0.673698133,0.725403188,0.622854659,0.683232889,0.71834321,0.721072881
946,0.696514487,0.75230591,0.655544153,0.73191441,0.675429052,0.699372834
949,0.786148965,0.6588324,0.696339001,0.77382326,0.636991754,0.804567926
952,0.682599484,0.701527044,0.70174101,0.720924239,0.736058413,0.741677696
955,0.694435771,0.695620632,0.675697287,0.675446777,0.704904125,0.713211264
958,0.717334065,0.676293221,0.699202175,0.736279377,0.769559107,0.762493565
961,0.700583445,0.706866998,0.695046168,0.677740218,0.748822458,0.764327328
964,0.736073873,0.711490027,0.6389462,0.675532377,0.750570176,0.744190425
967,0.665656581,0.725410008,0.665663379,0.713741224,0.711433521,0.715417365
970,0.65598434,0.712370536,0.699450479,0.737846758,0.664949569,0.683141668
973,0.635010788,0.688370292,0.634531131,0.624485039,0.750466267,0.733706988
976,0.648771448,0.793843911,0.737080782,0.633115273,0.691559417,0.772574384
979,0.751405992,0.698542966,0.665125206,0.738159725,0.681224048,0.704395466
982,0.647650098,0.693599168,0.674343293,0.72339369,0.722193229,0.723728638
985,0.634450262,0.727679224,0.674989311,0.745928475,0.683498125,0.770508724
988,0.627762486,0.728440066,0.672333843,0.70320457,0.752786736,0.753646015
991,0.634913607,0.669504497,0.660160111,0.682446293,0.679091026,0.703037678
994,0.660818443,0.686990617,0.648459256,0.747314172,0.716805092,0.733714345
997,0.710392946,0.698757279,0.72282362,0.680985539,0.733436181,0.718786347
1000,0.668759844,0.683115804,0.683279918,0.788911216,0.732906547,0.797367974
1003,0.743444817,0.730374963,0.693501985,0.646957707,0.682837274,0.66099053
1006,0.631436181,0.655791368,0.675286136,0.698852267,0.656515284,0.75333506
1009,0.728280029,0.705455571,0.705252622,0.704108481,0.765414907,0.68595979
1012,0.733008485,0.677580457,0.688322422,0.741805706,0.670505472,0.711748692
1015,0.645251231,0.678440782,0.643124399,0.703920596,0.731999813,0.723003281
1018,0.707136961,0.803449978,0.845845804,0.693811085,0.617978654,0.717636447
1021,0.664147996,0.700705267,0.712723553,0.628313253,0.622980762,0.767564112
1024,0.666343008,0.691953322,0.726276287,0.624799363,0.612877382,0.724195664
1027,0.759433774,0.765113607,0.656170556,0.691457948,0.665486412,0.735644795
1030,0.645811476,0.628382741,0.737091542,0.637784362,0.718245773,0.675456115
1033,0.712142641,0.717776209,0.705445907,0.72574673,0.684291487,0.676328004
1036,0.779768687,0.658561762,0.738206748,0.680342775,0.636467483,0.734510902
1039,0.662819492,0.922968355,0.702318098,0.673702922,0.668741155,0.798882259
1042,0.706338918,0.70491468,0.684151262,0.694951176,0.658956156,0.724351298
1045,0.693880678,0.673211567,0.698881319,0.647166415,0.676043926,0.709970345
1048,0.623977403,0.72764621,0.663331673,0.628262158,0.762100834,0.734611632
1051,0.75376443,0.697537625,0.641677259,0.63658829,0.751336211,0.747103946
1054,0.719934903,0.715833471,0.621554174,0.643763805,0.682410956,0.767276245
1057,0.737618468,0.716400725,0.737137404,0.638327789,0.675943656,0.684016956
1060,0.652612862,0.698859631,0.646748257,0.711695059,0.752544948,0.631131317
1063,0.723256674,0.666627475,0.635274635,0.752139116,0.724771085,0.709303478
1066,0.740273174,0.685266933,0.722236881,0.694859365,0.703401147,0.743070384
1069,0.636010877,0.704334612,0.709672531,0.641252883,0.695395568,0.711685515
1072,0.674778455,0.651093458,0.623157843,0.73623469,0.651570526,0.783499899
1075,0.697064724,0.737881742,0.69421222,0.718735407,0.701842603,0.753962491
1078,0.720981449,0.700953561,0.732279739,0.748486251,0.753570057,0.752156507
1081,0.810899675,0.757795756,0.666730781,0.706962891,0.718355676,0.749313551
1084,0.699387837,0.670745503,0.745395063,0.756765716,0.719212333,0.727779234
1087,0.735405974,0.681140571,0.678505781,0.709463016,0.674147127,0.710801515
1090,0.678986359,0.701350414,0.710533519,0.725423091,0.70601846,0.761447816
1093,0.690971763,0.708855691,0.708261853,0.733973055,0.783314425,0.777247415
1096,0.635540865,0.672141995,0.674117071,0.697705477,0.749948815,0.710130884
