env_name,pt_name,min,q1,median,q3,max
ramp,baseline,0.0065136537887156,0.7861823886632919,1.3053603172302246,1.981208056211472,4.808147430419922
low,baseline,0.0094548892229795,0.7446675002574921,1.2862796783447266,2.1204607486724854,7.381551265716553
mid,baseline,0.0003002985322382,0.2201528437435627,0.4273592233657837,0.955497309565544,3.887227296829224
high,baseline,2.761286395980278e-06,0.1979013457894325,0.3516474962234497,0.6685337573289871,3.8755886554718018
gravel,baseline,0.0024442162830382,0.5466416925191879,0.9328892230987548,1.3954418301582336,4.137938499450684
ramp,context,0.0018695697654038,0.5805898308753967,0.9258235692977904,1.3454587757587433,4.809686183929443
low,context,0.0015317909419536,0.3329430595040321,0.8036590814590454,1.5501580238342283,6.9077467918396
mid,context,0.0002358910569455,0.1393843628466129,0.2452690601348877,0.464056983590126,3.3899528980255127
high,context,0.0010836237343028,0.1445649154484272,0.2582353949546814,0.4670160934329033,3.757262706756592
gravel,context,0.0036356302443891,0.3980908617377281,0.6995911002159119,1.1518645882606506,5.300749778747559
ramp,PID,0.0029474981129169,0.479189358651638,0.7481787204742432,1.0921284556388855,3.65712571144104
low,PID,0.004307868424803,0.2706215977668762,0.4906954765319824,0.9785448908805848,7.063354969024658
mid,PID,0.0008150500943884,0.1656816788017749,0.2519944906234741,0.3947222083806991,3.3602328300476074
high,PID,2.8388060400175164e-06,0.1664804108440876,0.2610968947410583,0.3970317915081978,3.306079864501953
gravel,PID,0.0013747946359217167,0.370504654943943,0.6441036462783813,1.0925135612487793,3.370753526687622
